Starting a Gradle Daemon (subsequent builds will be faster)
> Task :app:generateEffectiveLombokConfig UP-TO-DATE
> Task :app:compileJava UP-TO-DATE
> Task :app:processResources UP-TO-DATE
> Task :app:classes UP-TO-DATE

> Task :app:run
[2024-02-24T14:54:35,699] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000004/2024-02-21_14-54_s981yo00.ogg to transcribe-legal-audio/2024-02-24_c47c2a62-e5b9-4c95-97c9-f38115b4ca89/2024-02-21_14-54_s981yo00.ogg
[2024-02-24T14:54:35,699] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000001/2024-02-20_09-40_s95rde03.ogg to transcribe-legal-audio/2024-02-24_c4fd458f-9806-4e68-a4cc-e398196fc93d/2024-02-20_09-40_s95rde03.ogg
[2024-02-24T14:54:35,700] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000000/2024-02-20_14-11_s9630i05.ogg to transcribe-legal-audio/2024-02-24_694d23d7-ab09-4d54-8767-21fb33a974af/2024-02-20_14-11_s9630i05.ogg
[2024-02-24T14:54:35,699] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000002/s97l7608.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-12_s97l7608.ogg
[2024-02-24T14:54:35,700] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-12_s97l7608.ogg
[2024-02-24T14:54:35,700] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-12_s97l7608.ogg to transcribe-legal-audio/2024-02-24_cb9ff6d5-3fcc-4704-a67c-a199c4fda95a/2024-02-21_10-12_s97l7608.ogg
[2024-02-24T14:54:35,701] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000002/s97l760c.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-52_s97l760c.ogg
[2024-02-24T14:54:35,701] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000001/s95rde05.ogg with new file /tmp/31747/Transcription Package 1/00000001/2024-02-20_10-00_s95rde05.ogg
[2024-02-24T14:54:35,700] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000000/s9630i0c.ogg with new file /tmp/31747/Transcription Package 1/00000000/2024-02-20_15-21_s9630i0c.ogg
[2024-02-24T14:54:35,701] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000000/2024-02-20_15-21_s9630i0c.ogg
[2024-02-24T14:54:35,701] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000000/2024-02-20_15-21_s9630i0c.ogg to transcribe-legal-audio/2024-02-24_400a182e-ed2f-47f5-8e26-15f75456f240/2024-02-20_15-21_s9630i0c.ogg
[2024-02-24T14:54:35,701] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000004/s981yo02.ogg with new file /tmp/31747/Transcription Package 1/00000004/2024-02-21_15-14_s981yo02.ogg
